,Community,Facility Name,Colour Posting,Last Inspection Date,Site Address,url,category,Risk Rating,Type,Offense,Outcome,Offense Date,Comment,Resolved Date
10,Petrolia,Hogan Pharmacy,,2023-07-06,4177 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/c06b1278-3cc9-4144-9471-27e5dc9d2a06' ,DineSafe Lambton,,,,,,,
11,Point Edward,Holiday Inn Express,,2023-11-29,1460 Venetian Blvd  Point Edward ON N7T 7W6,location.href = '/Facility/Details/0eb99a02-7ea3-4cad-9a07-9cb5cf476657' ,DineSafe Lambton,,,,,,,
12,Watford,"Homestead Soups, Sweets, and Savouries",,2023-11-23,5303 Nauvoo Road  Watford ON N0M 2S0,location.href = '/Facility/Details/8fe43656-0d1d-434e-8242-9ace75e4e07d' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Honestly Dough,,2024-01-16,138 Cromwell Street  Sarnia ON N7T 3X3,location.href = '/Facility/Details/f41a6ecf-9f04-453c-8fa8-1fcb4fb6ba80' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Housing and Homelessness Resource Centre,,2023-09-14,837 Exmouth Street  Sarnia ON N7T 5R1,location.href = '/Facility/Details/6cb5988f-2245-4abf-a97d-0e47b999f29f' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),HR Studios LTD/ For The Love Of Protein,,2023-07-11,356 Bright Street  Sarnia ON N7T 4G4,location.href = '/Facility/Details/14d6e27b-2bd9-4aa9-a2c5-d75d14e25e4f' ,DineSafe Lambton,,,,,,,
16,Sombra,Hummingbird Cafe,,2023-06-22,3486 St. Clair Parkway  Sombra ON N0P 2H0,location.href = '/Facility/Details/54faacf1-af58-4dca-a4d5-30124311cbed' ,DineSafe Lambton,,,,,,,
17,Sarnia (North) / Bright's Grove,Hungry Head Bar & Grill,,2024-04-11,2-1107 Lambton Mall Road  Sarnia ON N7S 0E5,location.href = '/Facility/Details/32387acd-5afa-4ec9-a408-c907327b58a6' ,DineSafe Lambton,,,,,,,
18,Wyoming,Huntzie's Pizza and Wings,,2023-10-13,636 Broadway Street  Wyoming ON N0N 1T0,location.href = '/Facility/Details/f745350e-ce6a-4a4f-a14c-e6e84e47ac35' ,DineSafe Lambton,,,,,,,
19,Sarnia (North) / Bright's Grove,Huron Baptist Church,,2023-06-21,1285 Michigan Ave  Sarnia ON N7S 4M6,location.href = '/Facility/Details/b9ac5d6a-0ca0-4aa5-a00f-7ab35c4147b2' ,DineSafe Lambton,,,,,,,
20,Sarnia (Central),Huron Coast Trading Co,,2023-06-13,137 Christina St N  Sarnia ON N7T 5T8,location.href = '/Facility/Details/e6dfd455-b351-4023-a4fe-156c00b94334' ,DineSafe Lambton,,,,,,,
21,Sarnia (North) / Bright's Grove,Huron House Boys Home,,2024-02-12,2473 Lakeshore Road  Bright's Grove ON N0N 1C0,location.href = '/Facility/Details/682a56db-9895-4b4a-86cd-eb84f239a5db' ,DineSafe Lambton,,,,,,,
22,Sarnia (North) / Bright's Grove,Huron Oaks (Halfway House),,,2587 Lakeshore Rd  Bright's Grove ON N0N 1C0,location.href = '/Facility/Details/baef3918-4a09-444f-a258-80aab454b8cd' ,DineSafe Lambton,,,,,,,
23,Grand Bend,Huron Shores United Church,,2023-10-06,25 Main Street West  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/f05e0c24-891b-4f01-bbec-fcea6bfc646d' ,DineSafe Lambton,,,,,,,
24,Grand Bend,Hyper Acai,,2023-08-24,33 Main Street West  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/43c313a7-96e4-43cf-89e8-25cb5d2a0b56' ,DineSafe Lambton,,,,,,,
