,Community,Facility Name,Colour Posting,Last Inspection Date,Site Address,url,category,Risk Rating,Type,Offense,Outcome,Offense Date,Comment,Resolved Date
0,Petrolia,21 Shell & Variety,,2023-07-07,4496 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/1f70b01b-fc96-4e40-a210-cda612fd6884' ,DineSafe Lambton,,,,,,,
1,Courtright,3 Sisters Cookie Creations,,2023-12-13,113 Templeton Cres  Courtright ON N0N 1H0,location.href = '/Facility/Details/aae515d7-cea5-49fa-8b49-a67a2928a390' ,DineSafe Lambton,,,,,,,
2,Petrolia,4 Every Occasion Inc,,2024-01-12,B-4159 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/f48e97aa-2c9c-483c-9686-050180ddfba5' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),7-Eleven,,2024-04-15,366 Christina Street N  Sarnia ON N7T 5V7,location.href = '/Facility/Details/ccb1b35e-f413-4a93-95c1-70b4d345ec6e' ,DineSafe Lambton,,,,,,,
4,Sarnia (Central),A & W Restaurant,,2023-11-23,FC1-1380 London Road  Sarnia ON N7S 1P8,location.href = '/Facility/Details/d2b98c2f-27aa-492d-80d9-9f10528b90a9' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),A & W Restaurant,,2023-06-23,1219 Confederation St  Sarnia ON N7S 4M7,location.href = '/Facility/Details/874a454f-5807-4ef2-ae84-1dc72ce7a5ff' ,DineSafe Lambton,,,,,,,
6,Sarnia (Central),A & W Restaurant,,2024-01-30,1380 Exmouth St  Sarnia ON N7S 1H7,location.href = '/Facility/Details/6956d13f-880c-43f6-a07e-f34e213c6260' ,DineSafe Lambton,,,,,,,
7,Sarnia (Central),A + B Kitchen,,2023-11-30,711 Talfourd St  Sarnia ON N7T 1S1,location.href = '/Facility/Details/66780b98-7d14-477f-ba5e-fae92029e7d8' ,DineSafe Lambton,,,,,,,
8,Petrolia,A Little Piece of Cake,,2023-11-29,3356 Rokeby Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/a46055cf-20c9-48af-a9eb-9787628d3345' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),A Taste of Britain,,2023-07-10,515 Murphy Road  Sarnia ON N7S 5V4,location.href = '/Facility/Details/d137136f-90e0-44fe-9662-02217ce92a70' ,DineSafe Lambton,,,,,,,
10,Corunna,A Taste of Heaven,,2024-01-30,551 Murray Dr  Corunna ON N0N 1G0,location.href = '/Facility/Details/ea1d9414-faca-4ca2-8ea2-d5c4c89b0a7e' ,DineSafe Lambton,,,,,,,
11,Petrolia,Actor's Casual Dining,,2024-03-26,4211 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/a4acb49c-8d66-411e-b98c-7df6e635af3d' ,DineSafe Lambton,,,,,,,
12,Sarnia (Central),Afton Park Place,,2024-02-20,1200 Afton Dr  Sarnia ON N7S 6L6,location.href = '/Facility/Details/5f20a85b-40ec-4b95-b51a-0ef31054f492' ,DineSafe Lambton,,,,,,,
13,Petrolia,Albany Retirement Village Inc.,,2024-03-07,423 Albany St  Petrolia ON N0N 1R0,location.href = '/Facility/Details/5dea0127-2089-4d3a-9429-4e9750f7c06f' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Alexander MacKenzie Cafe,,2024-03-06,1257 Michigan Avenue  Sarnia ON N7S 3Y3,location.href = '/Facility/Details/5eb09e20-b256-4f3e-af1b-f23a5be4b09b' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),Alfie's European Deli,,2023-08-11,940 Murphy Road  Sarnia ON N7S 5C4,location.href = '/Facility/Details/8f23f82d-41c4-479f-a1c4-5e9cd8abc9d6' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Alfredo Pasta Boutique & More,,2023-07-13,163 Cromwell Street  Sarnia ON N7T 3X4,location.href = '/Facility/Details/44bb09bb-44d2-4aec-9b88-ce12fc0d1fd4' ,DineSafe Lambton,,,,,,,
17,Grand Bend,Alhambra Hall,,2023-12-11,10080 Klondyke Road  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/15b22c81-df8b-4648-baf4-224e165e4314' ,DineSafe Lambton,,,,,,,
18,Sarnia (Central),Alternate Grounds Dockside,,2023-05-10,97 Seaway Rd  Sarnia ON N7T 3E6,location.href = '/Facility/Details/d61cd2bc-1d13-4b8a-8693-2dda7c035340' ,DineSafe Lambton,,,,,,,
19,Plympton-Wyoming – Rural,Alton Farms Estate Winery,,2023-06-19,5547 Aberarder Line  Plympton-Wyoming ON N0N 1J5,location.href = '/Facility/Details/1ed3f03b-a5f0-474d-af94-9470ebcc0ba2' ,DineSafe Lambton,,,,,,,
20,Alvinston,Alvinston Optimist Club,,2022-05-24,3310 Walnut St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/01ef9a99-8146-49e8-8269-46ea0c7d2df5' ,DineSafe Lambton,,,,,,,
21,Sarnia (South),Angels Day Care kitchen,,2024-01-31,1299 Murphy Road  Sarnia ON N7S 2Y7,location.href = '/Facility/Details/babe6994-00d2-4160-85b4-fd76b3c760e1' ,DineSafe Lambton,,,,,,,
22,Sarnia (North) / Bright's Grove,Anita Coffee,,2024-01-12,2006 Olive Ave  Sarnia ON N0N 1C0,location.href = '/Facility/Details/2321720d-f02e-4a04-9a3a-679aca90476a' ,DineSafe Lambton,,,,,,,
23,Camlachie,Anita Coffee Cart,,2024-01-12,1840 London Line  Sarnia ON N7T 7H2,location.href = '/Facility/Details/b32600b4-a087-49bd-a39f-747ced6cad7b' ,DineSafe Lambton,,,,,,,
24,Courtright,Annette's Grill,,2023-05-16,1524 St. Clair Parkway  Courtright ON N0N 1H0,location.href = '/Facility/Details/3d20312d-5ecd-4714-806b-2cbf06af1172' ,DineSafe Lambton,,,,,,,
0,Corunna,Antonio's Pizza,,2024-02-29,443 Lyndoch St  Corunna ON N0N 1G0,location.href = '/Facility/Details/a39ea0e3-8923-4d1d-8eaa-268b175cd550' ,DineSafe Lambton,,,,,,,
1,Forest,Arbour Acres Variety Store,,2024-04-09,9612 West Ipperwash Rd  Lambton Shores ON N0N 1J2,location.href = '/Facility/Details/39c80b33-05d6-45cd-a8d9-ae31d8be2209' ,DineSafe Lambton,,,,,,,
2,Sarnia (Central),Arby's,,2024-02-07,1099 London Road  Sarnia ON N7S 1P7,location.href = '/Facility/Details/f5961e73-ed2c-48f7-acf2-70aeee8e8ea4' ,DineSafe Lambton,,,,,,,
3,Sarnia (South),Archies Fresh Cut Fries,,2024-02-28,Point Edward Waterfront Park  Point Edward ON N7V 1C3,location.href = '/Facility/Details/ff684ab4-52a2-4f23-8b0d-5dac58b98024' ,DineSafe Lambton,,,,,,,
4,Arkona,Arkona Fairways,,2023-06-30,8562 Townsend Line  Arkona ON N0M 1B0,location.href = '/Facility/Details/d3fe35e8-44dd-4142-9685-fe3ebf0c392a' ,DineSafe Lambton,,,,,,,
5,Arkona,Arkona Food Market,,2024-03-05,7291 Arkona Rd  Arkona ON N0M 1B0,location.href = '/Facility/Details/6cad5ba3-3fbd-41af-a2e2-0a060e0cf108' ,DineSafe Lambton,,,,,,,
6,Arkona,Arkona Goco,,2023-10-19,7326 Arkona Road  Arkona ON N0M 1B0,location.href = '/Facility/Details/dce44596-0ff3-4d5d-801b-9ca9680632b2' ,DineSafe Lambton,,,,,,,
7,Alvinston,Armor's Ale House,,2024-02-27,3225 River St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/fe463997-bd0b-4469-a62d-2ff5a0c500b0' ,DineSafe Lambton,,,,,,,
8,Grand Bend,Back In Time Catering/Indul-Gelato,,2024-03-08,58 Ontario Street North  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/ae986067-0da9-44d0-97ae-f01842e6c94f' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),BackHome Coffee,,2023-10-13,112 Christina St S  Sarnia ON N7T 2M6,location.href = '/Facility/Details/3afaac61-799d-43db-860b-a43f3d0bec02' ,DineSafe Lambton,,,,,,,
10,Sarnia (Central),Bad Dog,,2024-03-22,229 Christina St N  Sarnia ON N7T 5V1,location.href = '/Facility/Details/57757806-1649-4d5b-bf59-d4ed13549ed9' ,DineSafe Lambton,,,,,,,
11,Corunna,Bad Dog Bar & Grill,,2023-10-04,368 Lyndoch Street  Corunna ON N0N 1G0,location.href = '/Facility/Details/fefe81dd-e399-431b-8446-f7b12e2e6bc6' ,DineSafe Lambton,,,,,,,
12,Camlachie,Bae Salamati,,2024-01-10,6785 Eton Court  Camlachie ON N0N 1E0,location.href = '/Facility/Details/10050b68-d9e6-4735-a05b-e36d04a317ac' ,DineSafe Lambton,,,,,,,
13,Alvinston,BAI Community Centre Complex,,2023-11-08,3310 Walnut St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/74152200-7700-4019-9170-24cf64934334' ,DineSafe Lambton,,,,,,,
14,Alvinston,BAI Community Centre Complex - Snack Bar,,2023-11-08,3310 Walnut St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/9be672ef-2ee0-4f0d-8f15-8eaab0f80d8d' ,DineSafe Lambton,,,,,,,
15,Alvinston,BAI Community Centre Complex Upper Hall,,2023-07-04,3310 Walnut St  Alvinston ON N0N 1A0,location.href = '/Facility/Details/329ff945-c40e-4c7e-a17d-4f34fa783097' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Bains BBQ & Smokehouse,,2023-06-28,1406 London Rd  Sarnia ON N7S 1P7,location.href = '/Facility/Details/7c1d458b-ab60-43d9-8e68-d064241c77fa' ,DineSafe Lambton,,,,,,,
17,Grand Bend,Baked Buy Noreen,,2023-11-07,8434 Goosemarsh Line  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/8b800ce5-d254-42ad-a7e9-ab406697354b' ,DineSafe Lambton,,,,,,,
18,Plympton-Wyoming – Rural,Bang In' Burger N Wings,,2024-03-21,5906 Oil Heritage Road  Wyoming ON N0N 1T0,location.href = '/Facility/Details/1b099378-502d-4143-947c-bea06ed44c6b' ,DineSafe Lambton,,,,,,,
19,Sarnia (Central),Barakat,,2024-02-23,1362 Lambton Mall Rd.  Sarnia ON N7S 5R6,location.href = '/Facility/Details/d5a4da75-4c94-4605-bbc2-74e04dffb1ab' ,DineSafe Lambton,,,,,,,
20,Sarnia (Central),barBurrito,,2024-02-07,1200 London Rd  Sarnia ON N7S 1P4,location.href = '/Facility/Details/d09fff73-ea32-420a-97cd-e3637a07d92a' ,DineSafe Lambton,,,,,,,
21,Sarnia (Central),Bazaar 365,,2023-10-30,6&7-1407 London Rd  Sarnia ON N7S 6K4,location.href = '/Facility/Details/db92631a-94d4-493d-89cd-88f15307e652' ,DineSafe Lambton,,,,,,,
22,Sarnia (South),Beacon's of Light DayCare,,2024-03-21,297 Stuart St  Sarnia ON N7T 3B9,location.href = '/Facility/Details/a7e1d561-55e4-4273-a9f2-f6338900de07' ,DineSafe Lambton,,,,,,,
23,Sarnia (Central),Beanzz,,2024-02-07,207 Christina Street North  Sarnia ON N7T 5V1,location.href = '/Facility/Details/b7d44021-9261-45c5-9a98-1c36746aac71' ,DineSafe Lambton,,,,,,,
24,Petrolia,Bear Creek Terrace,,2024-01-24,437 First Ave  Petrolia ON N0N 1R0,location.href = '/Facility/Details/da6dfbdc-9441-4a04-baad-e9beb9905fdd' ,DineSafe Lambton,,,,,,,
0,Grand Bend,Beaver Tails,,2023-07-05,14 Main St W  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/5f11e5c6-4d05-4bdc-a971-1e1822e9e36f' ,DineSafe Lambton,,,,,,,
1,Grand Bend,Behind The Bend,,2022-06-28,21 Main St. West  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/49981718-8d14-479f-85b0-35978f827de4' ,DineSafe Lambton,,,,,,,
2,Aamjiwnaang First Nations,Bento,,2024-04-16,2600 Lakeshore Rd  Brights Grove ON N0N 1C0,location.href = '/Facility/Details/085a944c-bb96-4a05-b7d5-5cf5dd295367' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),Bento Sushi,,2024-02-22,600 Murphy Rd  Sarnia ON N7S 2X1,location.href = '/Facility/Details/3d81f203-2c02-46d2-94c2-87fd1a4d5733' ,DineSafe Lambton,,,,,,,
4,Grand Bend,Best Friend Pizza,,2023-08-17,29 Main St West  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/cb63190e-26ba-411a-aa40-b436297b36b9' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),Big A Convenience,,2023-07-10,794 London Rd  Sarnia ON N7T 4Y1,location.href = '/Facility/Details/913893ea-d693-4ae2-9147-22d08e6997e4' ,DineSafe Lambton,,,,,,,
6,Sarnia (Central),Big Daddy's Chip Truck,,2024-03-28,11-1173 Michener St  Sarnia ON N7S 4B1,location.href = '/Facility/Details/a64e9c90-a444-4f29-8532-7a6193440aaf' ,DineSafe Lambton,,,,,,,
7,Sarnia (Central),Big Daddy's Hot Dogs,,,1380 London Road.  Sarnia ON N7S 1P8,location.href = '/Facility/Details/c991d029-8ab3-4005-81c5-3563a522545b' ,DineSafe Lambton,,,,,,,
8,Sarnia (Central),Big Family Brewing,,2023-10-19,485 Harbour Road  Sarnia ON N7T 5R8,location.href = '/Facility/Details/317ec751-0fc9-4ea6-b38a-a04349e03a5b' ,DineSafe Lambton,,,,,,,
9,Sarnia (Central),Big Fish,,2023-12-12,1717 London Road  Sarnia ON N7T 7H2,location.href = '/Facility/Details/57e82515-43c7-4f82-a12b-f1c6ef50f4ba' ,DineSafe Lambton,,,,,,,
10,Grand Bend,Big Kahuna,,2023-12-19,26 Ontario St. South  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/b6c3c261-f9b7-4c60-bf37-1c95ee407e6f' ,DineSafe Lambton,,,,,,,
11,Oil Springs,Black Creek Golf & Country Club,,2024-04-11,4360 South Plank Rd  Oil Springs ON N0N 1P0,location.href = '/Facility/Details/2f85e67a-1da5-4f1c-bc37-9557352a6149' ,DineSafe Lambton,,,,,,,
12,Petrolia,Black Gold Brewery,,2024-02-20,395 Fletcher Street  Petrolia ON N0N 1R0,location.href = '/Facility/Details/60a7bcb0-db15-4297-9f6b-2f8baca1e7ed' ,DineSafe Lambton,,,,,,,
13,Plympton-Wyoming – Rural,Black Hog BBQ,,2023-06-08,3772 Confederation Line  Plympton-Wyoming ON N0N 1T0,location.href = '/Facility/Details/1602a63e-4a8d-4104-a7ef-7364ecce0b0d' ,DineSafe Lambton,,,,,,,
14,Petrolia,Black Pearl Bubble Tea Bar,,2023-05-04,4235 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/a15500a9-0550-44c4-af63-e8f160076add' ,DineSafe Lambton,,,,,,,
15,Sarnia (Central),Blackwater Coffee and Tea,,2023-10-13,177 Christina St N  Sarnia ON N7T 5T8,location.href = '/Facility/Details/3fa4d4af-d50e-488c-a77e-438cbd12223d' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Blackwell Nuts,,2024-04-05,1967 Blackwell Rd  Sarnia ON N7T 7H4,location.href = '/Facility/Details/78ba4eba-5cf9-4383-968b-5357ad901773' ,DineSafe Lambton,,,,,,,
17,Sarnia (North) / Bright's Grove,Blue Coast Bitters,,2023-11-17,1286 Glen Douglas Dr  Sarnia ON N7V 3N7,location.href = '/Facility/Details/2dc5d659-fc7c-4fa7-b251-6e1bee59579d' ,DineSafe Lambton,,,,,,,
18,Sarnia (North) / Bright's Grove,Blue Oven Cookies,,2023-10-20,2526 Eastfield Close  Bright's Grove ON N0N 1CO,location.href = '/Facility/Details/ad08f21c-7518-4746-8614-db49c5d6d08a' ,DineSafe Lambton,,,,,,,
19,Sombra,Blue Willow,,2024-01-25,3465 St Clair Pkwy  Sombra ON N0P 2H0,location.href = '/Facility/Details/1620ca45-9e03-416f-9748-faa2b97b216f' ,DineSafe Lambton,,,,,,,
20,Sarnia (Central),Bluewater Fries (L41 69D),,2023-04-05,Bluewater Bridge  Point Edward ON N7V 1C3,location.href = '/Facility/Details/a7cb6521-458b-4c1c-9247-1e2e6f77c8a7' ,DineSafe Lambton,,,,,,,
21,Sarnia (Central),Bluewater Fries (L41 70D),,2023-04-05,Bluewater Bridge (South Parking Lot),location.href = '/Facility/Details/18c3ad35-63be-4000-85a3-cc03813a43f6' ,DineSafe Lambton,,,,,,,
22,Point Edward,Bluewater Fries (Truck Three),,2023-04-19,430 Front Street  Sarnia ON N7T 7V4,location.href = '/Facility/Details/d1b3f075-37e1-46db-b6e8-216e9d04bd39' ,DineSafe Lambton,,,,,,,
23,Petrolia,Bluewater Health CEE Site,,2024-03-07,450 Blanche St  Petrolia ON N0N 1R0,location.href = '/Facility/Details/59391646-06fe-424a-8644-0f799ef318d7' ,DineSafe Lambton,,,,,,,
24,Sarnia (Central),Bluewater Health Norman,,2024-02-08,89 Norman St  Sarnia ON N7T 6S3,location.href = '/Facility/Details/a7fe9717-4f99-4bd7-80a1-29c6c7c13d85' ,DineSafe Lambton,,,,,,,
0,Point Edward,Bluewater Tap & Grill,,2024-03-18,"1498 Venetian Blvd  Point Edward, N7t 7W6 ON N7T 7W6",location.href = '/Facility/Details/acf6295e-89ed-4308-a7f8-60e836488cce' ,DineSafe Lambton,,,,,,,
1,Wyoming,Bobbi's Diner,,2024-01-25,641 Broadway Street  Wyoming ON N0N 1T0,location.href = '/Facility/Details/ad1d9528-a3cc-4a0d-b818-c1668f2efe37' ,DineSafe Lambton,,,,,,,
2,Sombra,Bogart's,,2023-12-08,2845 St.Clair Pkwy  Sombra ON N0P 5T9,location.href = '/Facility/Details/c5d5a5f1-8f2b-41e7-97ac-5f2eb58a4476' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),Booster Juice,,2024-03-13,K01-1380 London Rd  Sarnia ON N7S 1P8,location.href = '/Facility/Details/efa9ada7-4764-47e9-9266-52acf1542fb3' ,DineSafe Lambton,,,,,,,
4,Sarnia (Central),Boston Pizza,,2024-03-28,1400 Exmouth St  Sarnia ON N7S 3X9,location.href = '/Facility/Details/52b1dec6-5e3e-48d8-84a9-8207b1b39853' ,DineSafe Lambton,,,,,,,
5,Sarnia (Central),Boulevard Grill,,2024-04-09,560 Exmouth Street  Sarnia ON N7T 5P5,location.href = '/Facility/Details/4f11da53-5e8a-49d3-84a4-1dc4ef922764' ,DineSafe Lambton,,,,,,,
6,Brigden,Brigden Community Hall,,2023-03-27,3-3016-Brigden Rd  Brigden ON N0N 1B0,location.href = '/Facility/Details/b0bded7e-2d92-418f-a278-099563173a6f' ,DineSafe Lambton,,,,,,,
7,Brigden,Brigden Fair Kitchen,,2023-10-06,2976 Brigden Road  Brigden ON N0N 1B0,location.href = '/Facility/Details/dc9f6402-ce50-417e-bd28-63460f2efef5' ,DineSafe Lambton,,,,,,,
8,Brigden,Brigden Pizza,,2024-03-26,3022 Brigden Road  Brigden ON N0N 1B0,location.href = '/Facility/Details/9c638b3f-3d43-4c55-be15-f61e0f302d12' ,DineSafe Lambton,,,,,,,
9,Sarnia (North) / Bright's Grove,Bright's Grove Foodland,,2024-04-16,2600 Lakeshore Road  Bright's Grove ON N0N 1C0,location.href = '/Facility/Details/566b726e-bad1-48e4-8d6e-f3f86c00ee8c' ,DineSafe Lambton,,,,,,,
10,Port Lambton,Brit Boys British Fish N Chips,,2024-03-28,4555 St. Clair Parkway  Port Lambton ON N0P 2B0,location.href = '/Facility/Details/f87f8ecb-73d6-43b7-b103-9a19ab1d4353' ,DineSafe Lambton,,,,,,,
11,Alvinston,Brooke-Alvinston Child Care Centre Kitchen,,2024-01-26,7989 Brooke Line  Alvinston ON N0N 1A0,location.href = '/Facility/Details/8407bbc6-0a93-4751-b254-efd51512d82c' ,DineSafe Lambton,,,,,,,
12,Alvinston,Brooke-Alvinston Community Food Bank,,2023-11-08,3236 River Street  Alvinston ON N0N 1A0,location.href = '/Facility/Details/cf533e59-98e3-49df-b6ac-dcbfa355f6a6' ,DineSafe Lambton,,,,,,,
13,Watford,Brookside Retirement Living,,2024-02-14,7835 Confederation Line  Watford ON N0M 2S0,location.href = '/Facility/Details/3d23da1e-f351-4fe0-8cad-a757c20505e7' ,DineSafe Lambton,,,,,,,
14,Sarnia (Central),Brownstones Sports Lounge & Restaurant,,2023-12-18,1000 Finch Dr  Sarnia ON N7S 4G6,location.href = '/Facility/Details/ff7d7989-68b3-409f-9303-5307d83b06da' ,DineSafe Lambton,,,,,,,
15,Sarnia (North) / Bright's Grove,Bubbles Ice Cream,,2023-03-29,2354 Lakeshore Rd  Sarnia ON N7X 1G7,location.href = '/Facility/Details/ab8a4e7e-312b-4967-b4df-cecd27b89191' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Buddys Mini Donuts & Street Meat,,2022-06-06,476 Beresford  Corunna ON,location.href = '/Facility/Details/dc49bad5-0b30-4a5c-a39e-093f62e27244' ,DineSafe Lambton,,,,,,,
17,Petrolia,Bud's Family Pizza,,2024-01-24,436 Albany Street  Petrolia ON N0N 1R0,location.href = '/Facility/Details/06fc7fa8-16bc-4718-b308-8de3daadcbd7' ,DineSafe Lambton,,,,,,,
18,Sarnia (Central),Bulk Barn,,2024-02-09,1362 Lambton Mall Road  Sarnia ON N7S 3Y1,location.href = '/Facility/Details/f2e1a00d-09c3-474f-b8a6-7aaa790b048f' ,DineSafe Lambton,,,,,,,
19,Petrolia,Bull Wheel Bar & Grill/Lola's Diner,,2024-03-05,4196 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/b5b67744-f5e8-4c07-8812-0e0caf6dc081' ,DineSafe Lambton,,,,,,,
20,Grand Bend,Bunker In The Bend,,2023-12-08,99 Ontario St. South  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/7969f60f-4f85-43ac-a17c-71cdc5e4ad76' ,DineSafe Lambton,,,,,,,
21,Sarnia (Central),Burger Factory,,2023-12-05,1-1200 Lambton Mall Road  Sarnia Ontario N7S 5R6,location.href = '/Facility/Details/f6d18228-1bbb-4126-89c4-2a6a2571b54c' ,DineSafe Lambton,,,,,,,
22,Sarnia (Central),Burger King,,2024-04-11,81 Ube Drive  Sarnia ON N7W 1B6,location.href = '/Facility/Details/6e4f4017-e66a-408b-82f9-3175fabdc7b8' ,DineSafe Lambton,,,,,,,
23,Sarnia (South),Burger King,,2024-01-05,203 Indian Rd S  Sarnia ON N7T 3W3,location.href = '/Facility/Details/61294e97-737d-4b39-895a-a592575e7122' ,DineSafe Lambton,,,,,,,
24,Corunna,Burger Rebellion,,2024-02-13,391 Lyndoch Street  Corunna ON N0N 1G0,location.href = '/Facility/Details/c65ea7af-283e-4268-ae8e-86359c8b92d0' ,DineSafe Lambton,,,,,,,
0,Sarnia (Central),Burger Rebellion,,2023-11-22,1326 London Rd  Sarnia ON N7S 1P7,location.href = '/Facility/Details/fafccccb-0dc9-44ef-a5dd-2d232d001ebe' ,DineSafe Lambton,,,,,,,
1,Petrolia,Burrito Guyz,,2024-03-27,2-4110 Petrolia Line  Petrolia ON N0N 1R0,location.href = '/Facility/Details/06c32441-ab59-4cf5-9d55-d976878a95b9' ,DineSafe Lambton,,,,,,,
2,Sarnia (Central),Burrito Guyz,,2024-01-12,2-500 Exmouth St  Sarnia ON N7T 5P4,location.href = '/Facility/Details/a492e05d-6446-42ec-994a-f04affa85c14' ,DineSafe Lambton,,,,,,,
3,Sarnia (Central),CACHE Pathways Health Centre,,2024-01-16,1240 Murphy Rd  Sarnia ON N7S 2Y6,location.href = '/Facility/Details/f9671500-1495-4590-8cf3-5dc0345ace88' ,DineSafe Lambton,,,,,,,
4,Sarnia (South),Cakebook (Svetlana Alekseeva),,2023-04-12,201 Stockwell St  Sarnia ON N7T 3S8,location.href = '/Facility/Details/2e89feae-6701-4867-bb45-0b4a7d84e5ce' ,DineSafe Lambton,,,,,,,
5,Camlachie,Camlachie Canteen,,2023-06-27,6767 Camlachie Road  Camlachie ON N0N 1E0,location.href = '/Facility/Details/9640c557-d4b0-4392-b1c8-12e7166777cc' ,DineSafe Lambton,,,,,,,
6,Camlachie,Camlachie Community Centre,,2023-11-28,6767 Camlachie Rd  Camlachie ON N0N 1E0,location.href = '/Facility/Details/491897c3-dc53-4ac7-b8fc-1b3b9b7501ca' ,DineSafe Lambton,,,,,,,
7,Camlachie,Camlachie Food Market,,2023-03-29,3785 Lakeshore Road  Camlachie ON N0N 1E0,location.href = '/Facility/Details/7770fb72-4169-40a4-81ef-1fd843073d95' ,DineSafe Lambton,,,,,,,
8,Camlachie,Camlachie Golf Course,,2023-10-03,4331 Egremont Rd  Camlachie ON N0N 1E0,location.href = '/Facility/Details/35a79f2a-a951-4b7c-80ea-3c60fc67446f' ,DineSafe Lambton,,,,,,,
9,Forest,Cana China Restaurant,,2023-12-12,20 King Street W  Forest ON N0N 1J0,location.href = '/Facility/Details/73d234db-c74a-4bdc-ad98-a99b49cf161f' ,DineSafe Lambton,,,,,,,
10,Sarnia (Central),Canadian Tire Gas Bar,,2024-02-16,1380 London Rd  Sarnia ON N7S 1P9,location.href = '/Facility/Details/eb7e3ced-4bc7-4136-af44-51d68b0504e7' ,DineSafe Lambton,,,,,,,
11,Sarnia (Central),Canon Davis Memorial,,2023-12-14,380 Russell St N  Sarnia ON N7T 6S6,location.href = '/Facility/Details/dfae4f87-77b4-4aec-8343-ddd36130b041' ,DineSafe Lambton,,,,,,,
12,Sarnia (Central),Canteen Vending Services,,2023-10-20,89 Norman Streeet  Sarnia ON N7T 6S3,location.href = '/Facility/Details/1a65613a-beac-41a7-965c-2f0fd21e4ef7' ,DineSafe Lambton,,,,,,,
13,Sarnia (Central),Capstone's Bistro,,2023-11-10,1485 London Rd  Sarnia ON N7S 1P6,location.href = '/Facility/Details/811590e1-a319-4580-b357-298cfb1743be' ,DineSafe Lambton,,,,,,,
14,Forest,CDS Pharmacy,,2023-07-14,2 Main Street South  Forest ON N0N 1J0,location.href = '/Facility/Details/bd5af745-1eb6-4f37-9fc2-223e314a14fe' ,DineSafe Lambton,,,,,,,
15,Courtright,Cedarview Farm Bakery,,2023-12-14,3028 Kimball Rd  Courtright ON N0N 1H0,location.href = '/Facility/Details/d0fe5b0c-f964-428b-b821-598a1eb11372' ,DineSafe Lambton,,,,,,,
16,Sarnia (Central),Centre Square Mart,,2023-02-17,130 Davis St  Sarnia ON N7T 1A4,location.href = '/Facility/Details/1d2fd015-21a7-4ab1-8740-01b8a5f15fc7' ,DineSafe Lambton,,,,,,,
17,Thedford,Chachi's Fresh Cut Fries,,2022-08-04,132 Main St  Thedford ON N0M 2N0,location.href = '/Facility/Details/969ebda6-3d21-4abc-8ac4-237c9cc92e62' ,DineSafe Lambton,,,,,,,
18,Sarnia (North) / Bright's Grove,Champlain House,,2024-01-23,901 Champlain St  Sarnia ON N7T 7J4,location.href = '/Facility/Details/62dde29a-fe24-4d91-a5a2-7a914601fc11' ,DineSafe Lambton,,,,,,,
19,Sarnia (Central),Champs,,2024-01-23,348 Ontario St  Sarnia ON N7T 1L9,location.href = '/Facility/Details/cbc6c2da-66d9-4ccb-9825-96383191fd18' ,DineSafe Lambton,,,,,,,
20,Grand Bend,CHAR gourmet burger,,,32 Ontario St N  Grand Bend ON N0M 1T0,location.href = '/Facility/Details/300ecea9-9a2d-473e-b177-e51f39d9d26b' ,DineSafe Lambton,,,,,,,
21,Sarnia (Central),Chocolate Therapy,,,179 London Road  Sarnia ON N7T 4V6,location.href = '/Facility/Details/61d3d334-6229-4e27-85c9-6f22bc631813' ,DineSafe Lambton,,,,,,,
22,Sarnia (Central),Christina's Coffee Plus,,2024-02-08,313 Christina Street N  Sarnia ON N7T 5V6,location.href = '/Facility/Details/3f163fd7-8c3c-4f79-9a29-605e19403d96' ,DineSafe Lambton,,,,,,,
